SITE_NAME,M_Result,M_Error,M_WT_Result,M_PH_Result,M_DIS_Result,M_TUR_Result,M_DS_Rain,M_Temp,N,E_std,R2,R22,PARM_INTERCIP,tSTAT_INTERCIP,PARM_WT,tSTAT_WT,PARM_PH,tSTAT_PH,PARM_DIS,tSTAT_DIS,PARM_TUR,tSTAT_TUR,PARM_DS_Rain,tSTAT_DS_Rain,PARM_AMB_TEMP,tSTAT_AMB_TEMP
Avery Deer Spring,22.29411765,-1.13E-14,22.62117647,7.304705882,6.514705882,3.241176471,11.82352941,21.7,17,19.22523232,0.647603459,0.8,-3.765426807,0.902374072,0.328419538,0.463421792,-1.442305139,0.729944127,0.254925069,0.883705996,1.450724279,0.042386899,0.970066394,0.00269019,0.067396404,0.863737207
Avery Springhouse Spring,17.4,-1.78E-16,23.3525,7.4185,6.6295,2.2705,11.45,21,20,13.70475051,0.294020823,0.4,3.293895278,0.949370595,0.14659157,0.810352078,0.692977459,0.934770146,-0.90720281,0.427852553,-1.160654917,0.622086041,0.07804362,0.873693046,0.385919898,0.336960809
Backdoor Spring,3.627254902,-6.97E-17,20.95235294,7.51372549,7.350588235,1.491176471,10.07843137,21.4,51,4.993679889,0.068213807,0.19,3.78547425,0.39473175,-0.079760107,0.211068138,-0.135039238,0.806801829,0.030166759,0.790703381,0.458326071,0.067891767,-0.029733006,0.438152157,0.019396925,0.582098966
Barton Creek @ Hwy 71 Downstream of Little Barton,44.32106383,-3.02E-14,23.26891253,7.525106383,7.204680851,3.328723404,12.91489362,20.3,47,32.5569414,0.134366222,0.26,13.40804908,0.870041995,-0.508285202,0.103737464,-0.422723797,0.96812234,4.50074374,0.017196026,-0.602792939,0.125076967,-0.396967894,0.353965524,0.701434882,0.143647893
Barton Creek @ Leif Johnson Pool,20.5,-1.78E-14,21.16454546,7.525,6.973181818,2.933636364,9.681818182,19.8,22,13.94856047,0.331892875,0.56,-10.75642391,0.850629858,1.267084136,0.163251919,5.424409255,0.448916407,-2.123023583,0.131249335,-1.239689961,0.043111045,-1.003714839,0.015888544,-0.406095265,0.195310479
Barton Creek @ Ogletree Pool,17.10758621,1.23E-16,23.50383142,7.536896552,8.148965517,2.334137931,13.51724138,20,29,12.86722807,0.132307102,0.55,113.9153572,0.084135537,0.934674133,0.106222812,-13.12621563,0.110053417,0.013394254,0.991807895,-6.435265657,0.020504134,-0.894113813,0.003688299,0.146163866,0.603898778
Barton Creek @ Recharge Pool,25.18181818,2.43E-14,22.64636364,7.679090909,9.470909091,4.820909091,9,19,11,16.54941987,0.664343745,0.96,-142.7473403,0.295310793,2.9334002,0.046584567,12.17322971,0.41141817,2.688574059,0.109018995,2.392131027,0.632534273,-0.689684047,0.329556042,-0.963066458,0.094420109
Barton Creek @ Shield Ranch Pool,45.41428571,-4.59E-14,20.73853175,7.423571429,7.340357143,3.121428571,12,20.7,28,36.80787404,0.167937039,0.42,37.12480082,0.815112342,1.737726919,0.201695876,-8.033602916,0.718901759,5.889766293,0.06217546,-4.246551801,0.139308003,1.108875872,0.155485934,-1.388908287,0.094770081
Barton Creek @ Stark Pool,47.648,-1.65E-14,21.216,7.4532,7.0944,1.2788,10.84,19.4,25,31.67640129,0.242906016,0.37,23.44092985,0.85794337,-0.346402054,0.818510051,-6.321724584,0.730014622,3.961247482,0.263042275,1.003680398,0.897908423,1.083903625,0.155378319,1.602111211,0.063351544
Barton Creek Between Dams Upstream of Pool,45.08048781,-1.11E-14,22.35615176,7.462439024,7.82,4.897073171,10.73170732,20.4,41,23.82080233,0.511351114,0.72,19.82856453,0.725535455,0.478426212,0.543916513,-1.382656679,0.85370901,-0.761548496,0.632301799,0.136559768,0.823544274,-1.248593651,0.001186091,1.980874483,1.68E-06
